Enplanements,name,latitude,longitude,elevation_ft,local_code
123541,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078,683,TOL
123060,St George Regional Airport,37.036389,-113.510306,2941,SGU
120235,Columbia Regional Airport,38.8181,-92.219597,889,COU
119783,Plattsburgh International Airport,44.65090179,-73.4681015,234,PBG
119182,Niagara Falls International Airport,43.1073,-78.946198,589,IAG
115787,Santa Fe Municipal Airport,35.61709976,-106.0889969,6348,SAF
115711,Brownsville South Padre Island International Airport,25.90679932,-97.42590332,22,BRO
115438,Helena Regional Airport,46.6068,-111.983002,3877,HLN
114578,Grand Forks International Airport,47.949299,-97.176102,845,GFK
111172,Coastal Carolina Regional Airport,35.07300186,-77.04290009,18,EWN
109878,University of Illinois Willard Airport,40.039819,-88.276249,755,CMI
107107,Monroe Regional Airport,32.510899,-92.037697,79,MLU
106710,Chicago Rockford International Airport,42.1954,-89.097198,742,RFD
105104,Meadows Field,35.433601,-119.056999,510,BFL
101701,Tri-State/Milton J. Ferguson Field,38.366699,-82.557999,828,HTS
100079,Yampa Valley Airport,40.48120117,-107.2180023,6606,HDN
99651,La Crosse Regional Airport,43.879002,-91.256699,655,LSE
99070,Ithaca Tompkins Regional Airport,42.49100113,-76.45839691,1099,ITH
98908,Stockton Metropolitan Airport,37.89419937,-121.237999,33,SCK
95858,Laredo International Airport,27.54380035,-99.46160126,508,LRD
95342,Erie International Tom Ridge Field,42.083127,-80.173867,732,ERI
93889,Kenai Municipal Airport,60.57310104,-151.2449951,99,ENA
93280,Friedman Memorial Airport,43.50439835,-114.2959976,5318,SUN
92836,Portsmouth International at Pease Airport,43.07789993,-70.82330322,100,PSM
91966,Mercedita Airport,18.00830078,-66.56300354,29,PSE
87119,Sitka Rocky Gutierrez Airport,57.04710007,-135.3619995,21,SIT
86973,Fort Smith Regional Airport,35.336601,-94.367401,469,FSM
86905,Casper-Natrona County International Airport,42.908001,-106.463997,5350,CPR
83392,Lynchburg Regional Airport - Preston Glenn Field,37.326698,-79.200401,938,LYH
81562,Kodiak Airport,57.75,-152.4940033,78,ADQ
80106,Provo-Utah Lake International Airport,40.2192,-111.723,4497,PVU
79336,Molokai Airport,21.152901,-157.095993,454,MKK
79309,Easterwood Field,30.58860016,-96.36380005,320,CLL
77229,Abilene Regional Airport,32.41130066,-99.68190002,1791,ABI
76950,Abraham Lincoln Capital Airport,39.844101,-89.677902,598,SPI
75332,Williston Basin International Airport,48.258387,-103.748797,2344,XWA
74495,Pago Pago International Airport,-14.331,-170.710007,32,PPG
72883,Manhattan Regional Airport,39.14099884,-96.67079926,1057,MHK
71631,Worcester Regional Airport,42.2673,-71.875702,1009,ORH
69575,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,ACV
69510,Yakima Air Terminal McAllister Field,46.56819916,-120.5439987,1099,YKM
69070,Ralph Wien Memorial Airport,66.88469696,-162.598999,14,OTZ
67793,Flagstaff Pulliam International Airport,35.1385,-111.670998,7014,FLG
66699,Pullman Moscow Regional Airport,46.7439,-117.110001,2556,PUW
64528,Pangborn Memorial Airport,47.39889908,-120.2070007,1249,EAT
64393,Salisbury Ocean City Wicomico Regional Airport,38.34049988,-75.51029968,52,SBY
64122,Nome Airport,64.5121994,-165.4450073,37,OME
63298,Central Nebraska Regional Airport,40.96749878,-98.30960083,1847,GRI
58122,Lake Charles Regional Airport,30.12610054,-93.22329712,15,LCH
57957,Lewiston Nez Perce County Airport,46.37450027,-117.0149994,1442,LWS
57344,Waco Regional Airport,31.61129951,-97.23049927,516,ACT
56632,Roswell Air Center Airport,33.301601,-104.530998,3671,ROW
55301,San Angelo Regional Mathis Field,31.35770035,-100.4960022,1919,SJT
52855,Dothan Regional Airport,31.32130051,-85.44960022,401,DHN
52605,Martha's Vineyard Airport,41.39310074,-70.61430359,67,MVY
51599,Pitt Greenville Airport,35.6352005,-77.38529968,26,PGV
49527,Walla Walla Regional Airport,46.09489822,-118.288002,1194,ALW
49354,Columbus Metropolitan Airport,32.5163002,-84.93890381,397,CSG
48532,Tyler Pounds Regional Airport,32.35409927,-95.40239716,544,TYR
48086,Lawton Fort Sill Regional Airport,34.56769943,-98.41660309,1110,LAW
47084,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999,4154,TWF
46867,Homer Airport,59.64559937,-151.477005,84,HOM
46450,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,44,BRW
46303,Pocatello Regional Airport,42.90980148,-112.5960007,4452,PIH
46246,Golden Triangle Regional Airport,33.45029831,-88.59140015,264,GTR
44779,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,1098,SUX
44609,Valdosta Regional Airport,30.78249931,-83.27670288,203,VLD
44333,Florence Regional Airport,34.1853981,-79.72389984,146,FLO
44131,King Salmon Airport,58.677845,-156.651965,73,AKN
43655,Deadhorse Airport,70.19470215,-148.4649963,65,SCC
42775,Redding Municipal Airport,40.50899887,-122.2929993,505,RDD
42061,Lanai Airport,20.785675,-156.951324,1308,LNY
40443,Brunswick Golden Isles Airport,31.25880051,-81.46649933,26,BQK
40013,Joplin Regional Airport,37.151798,-94.498299,981,JLN
39422,Southwest Georgia Regional Airport,31.532946,-84.196215,197,ABY
39407,Yellowstone Regional Airport,44.52019882,-109.0240021,5102,COD
38991,Tweed New Haven Airport,41.26369858,-72.88680267,12,HVN
38831,Dubuque Regional Airport,42.402,-90.709503,1077,DBQ
38026,Sheppard Air Force Base / Wichita Falls Municipal Airport,33.9888,-98.491898,1019,SPS
37599,Texarkana Regional Webb Field,33.45370102,-93.99099731,390,TXK
36917,North Central West Virginia Airport,39.29660034,-80.22810364,1217,CKB
36382,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,BGM
36238,Gunnison Crested Butte Regional Airport,38.536346,-106.928306,7680,GUC
34496,Dillingham Airport,59.04470062,-158.5050049,81,DLG
30124,Pierre Regional Airport,44.38270187,-100.2860031,1744,PIR
30081,Bemidji Regional Airport,47.50939941,-94.93370056,1391,BJI
29229,Tom Madsen (Dutch Harbor) Airport,53.89881,-166.544996,22,DUT
29022,Antonio Rivera Rodriguez Airport,18.1348,-65.493599,49,VQS
28404,Aberdeen Regional Airport,45.44910049,-98.42179871,1302,ABR
28341,Barnstable Municipal Boardman Polando Field,41.66930008,-70.28040314,54,HYA
27694,Jack Brooks Regional Airport,29.9508,-94.020699,15,BPT
27321,Stillwater Regional Airport,36.16120148,-97.08570099,1000,SWO
27136,Northeast Wyoming Regional Airport,44.3489,-105.539001,4365,GCC
25803,Bert Mooney Airport,45.95479965,-112.4970016,5550,BTM
25464,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,721,PLN
25387,Page Municipal Airport,36.92610168,-111.447998,4316,PGA
25243,Garden City Regional Airport,37.92750168,-100.723999,2891,GCK
24588,East Texas Regional Airport,32.38399887,-94.71150208,365,GGG
24520,Petersburg James A Johnson Airport,56.80170059,-132.9450073,111,PSG
24477,Rhinelander Oneida County Airport,45.63119888,-89.46749878,1624,RHI
24041,Houghton County Memorial Airport,47.16839981,-88.4890976,1095,CMX
23950,Chippewa Valley Regional Airport,44.86579895,-91.48429871,913,EAU
23892,Waterloo Regional Airport,42.55709839,-92.40029907,873,ALO
23844,Watertown International Airport,43.9919014,-76.021698,325,ART
23654,Hagerstown Regional Richard A Henson Field,39.707901,-77.72949982,703,HGR
23522,Mammoth Yosemite Airport,37.62409973,-118.8379974,7135,MMH
23475,Lea County Regional Airport,32.6875,-103.2170029,3661,HOB
23448,Ogdensburg International Airport,44.6819,-75.4655,297,OGS
23324,Chippewa County International Airport,46.25080109,-84.47239685,800,CIU
23020,Southwest Wyoming Regional Airport,41.5942,-109.065001,6764,RKS
23008,Santa Maria Public Airport Captain G Allan Hancock Field,34.898899,-120.457001,261,SMX
22595,Dickinson Theodore Roosevelt Regional Airport,46.79740143,-102.802002,2592,DIK
22547,Williamsport Regional Airport,41.2417984,-76.9210968,529,IPT
22464,Saint Cloud Regional Airport,45.5466,-94.059898,1031,STC
22233,Brainerd Lakes Regional Airport,46.402861,-94.129727,1232,BRD
21870,Green River Municipal Airport,38.96139908,-110.2269974,4225,U34
20934,Barkley Regional Airport,37.06079865,-88.77380371,410,PAH
19552,Ford Airport,45.81840134,-88.11450195,1182,IMT
19532,Owensboro Daviess County Airport,37.74010086,-87.16680145,407,OWB
19332,Key Field / Meridian Regional Airport,32.3326,-88.7519,297,MEI
18718,Muskegon County Airport,43.169498,-86.238197,629,MKG
18586,Boeing Field King County International Airport,47.529999,-122.302002,21,BFI
18474,Delta County Airport,45.72269821,-87.09369659,609,ESC
18363,Elko Regional Airport,40.82490158,-115.7919998,5140,EKO
18327,Ogden Hinckley Airport,41.19589996,-112.012001,4473,OGD
17694,Westerly State Airport,41.34960175,-71.80339813,81,WST
17654,Merle K (Mudhole) Smith Airport,60.491798,-145.477997,54,CDV
17225,Falls International Airport,48.56620026,-93.40309906,1185,INL
17188,Laramie Regional Airport,41.31209946,-105.6750031,7284,LAR
17133,Knox County Regional Airport,44.06010056,-69.09919739,56,RKD
17111,Range Regional Airport,47.3866,-92.838997,1354,HIB
